name,District,tw_name
"Abraham, Ralph",Louisiana 5th,@RepAbraham
"Adams, Alma",North Carolina 12th,@RepAdams
"Aderholt, Robert",Alabama 4th,@Robert_Aderholt
"Aguilar, Pete",California 31st,@RepPeteAguilar
"Allen, Rick",Georgia 12th,@RepRickAllen
"Allred, Colin",Texas 32nd,@RepColinAllred
"Amash, Justin",Michigan 3rd,@justinamash
"Amodei, Mark",Nevada 2nd,@MarkAmodeiNV2
"Armstrong, Kelly",North Dakota At Large,@RepArmstrongND
"Arrington, Jodey",Texas 19th,@RepArrington
"Axne, Cynthia",Iowa 3rd,@RepCindyAxne
"Babin, Brian",Texas 36th,@RepBrianBabin
"Bacon, Don",Nebraska 2nd,@RepDonBacon
"Baird, James",Indiana 4th,@RepJimBaird
"Balderson, Troy",Ohio 12th,@RepBalderson
"Banks, Jim",Indiana 3rd,@RepJimBanks
"Barr, Andy",Kentucky 6th,@RepAndyBarr
"Barragán, Nanette",California 44th,@RepBarragan
"Bass, Karen",California 37th,@RepKarenBass
"Beatty, Joyce",Ohio 3rd,@RepBeatty
"Bera, Ami",California 7th,@RepBera
"Bergman, Jack",Michigan 1st,@RepJackBergman
"Beyer, Don",Virginia 8th,@RepDonBeyer
"Biggs, Andy",Arizona 5th,@RepAndyBiggsAZ
"Bilirakis, Gus M.",Florida 12th,@RepGusBilirakis
"Bishop Jr., Sanford D.",Georgia 2nd,@SanfordBishop
"Bishop, Rob",Utah 1st,@RepRobBishop
"Blumenauer, Earl",Oregon 3rd,@repblumenauer
"Blunt Rochester, Lisa",Delaware At Large,@RepLBR
"Bonamici, Suzanne",Oregon 1st,@RepBonamici
"Bost, Mike",Illinois 12th,@RepBost
"Boyle, Brendan",Pennsylvania 2nd,@RepBrendanBoyle
"Brady, Kevin",Texas 8th,@RepKevinBrady
"Brindisi, Anthony",New York 22nd,@RepBrindisi
"Brooks, Mo",Alabama 5th,@RepMoBrooks
"Brooks, Susan W.",Indiana 5th,@SusanWBrooks
"Brown, Anthony",Maryland 4th,@RepAnthonyBrown
"Brownley, Julia",California 26th,@RepBrownley
"Buchanan, Vern",Florida 16th,@VernBuchanan
"Buck, Ken",Colorado 4th,@RepKenBuck
"Bucshon, Larry",Indiana 8th,@RepLarryBucshon
"Budd, Ted",North Carolina 13th,@RepTedBudd
"Burchett, Tim",Tennessee 2nd,@RepTimBurchett
"Burgess, Michael",Texas 26th,@michaelcburgess
"Bustos, Cheri",Illinois 17th,@RepCheri
"Butterfield, G.K.",North Carolina 1st,@GKButterfield
"Byrne, Bradley",Alabama 1st,@RepByrne
"Calvert, Ken",California 42nd,@KenCalvert
"Carbajal, Salud",California 24th,@RepCarbajal
"Cárdenas, Tony",California 29th,@RepCardenas
"Carson, André",Indiana 7th,@RepAndreCarson
"Carter, Buddy",Georgia 1st,@RepBuddyCarter
"Carter, John",Texas 31st,@JudgeCarter
"Cartwright, Matt",Pennsylvania 8th,@RepCartwright
"Case, Ed",Hawaii 1st,@RepEdCase
"Casten, Sean",Illinois 6th,@RepCasten
"Castor, Kathy",Florida 14th,@USRepKCastor
"Castro, Joaquin",Texas 20th,@JoaquinCastrotx
"Chabot, Steve",Ohio 1st,@RepSteveChabot
"Cheney, Liz",Wyoming At Large,@RepLizCheney
"Chu, Judy",California 27th,@RepJudyChu
"Cicilline, David",Rhode Island 1st,@davidcicilline
"Cisneros, Gilbert Ray Jr.",California 39th,@RepGilCisneros
"Clark, Katherine",Massachusetts 5th,@RepKClark
"Clarke, Yvette D.",New York 9th,@RepYvetteClarke
"Clay Jr., William ""Lacy""",Missouri 1st,@LacyClayMO1
"Cleaver, Emanuel",Missouri 5th,@repcleaver
"Cline, Ben",Virginia 6th,@RepBenCline
"Cloud, Michael",Texas 27th,@RepCloudTX
"Clyburn, James E.",South Carolina 6th,@WhipClyburn
"Cohen, Steve",Tennessee 9th,@RepCohen
"Cole, Tom",Oklahoma 4th,@TomColeOK04
"Collins, Doug",Georgia 9th,@RepDougCollins
"Comer, James",Kentucky 1st,@KYComer
"Conaway, K. Michael",,@ConawayTX11
"Connolly, Gerald E. ""Gerry""",Virginia 11th,@GerryConnolly
"Cook, Paul",California 8th,@RepPaulCook
"Cooper, Jim",Tennessee 5th,@repjimcooper
"Correa, J. Luis",California 46th,@RepLouCorrea
"Costa, Jim",California 16th,@RepJimCosta
"Courtney, Joe",Connecticut 2nd,@RepJoeCourtney
"Cox, TJ",California 21st,@RepTjCox
"Craig, Angie",Minnesota 2nd,@RepAngieCraig
"Crawford, Rick",Arkansas 1st,@RepRickCrawford
"Crenshaw, Dan",Texas 2nd,@RepDanCrenshaw
"Crist, Charlie",Florida 13th,@RepCharlieCrist
"Crow, Jason",Colorado 6th,@RepJasonCrow
"Cuellar, Henry",Texas 28th,@RepCuellar
"Cummings, Elijah",Maryland 7th,@RepCummings
"Cunningham, Joe",South Carolina 1st,@RepCunningham
"Curtis, John R.",Utah 3rd,@RepJohnCurtis
"Davids, Sharice",Kansas 3rd,@RepDavids
"Davidson, Warren",Ohio 8th,@WarrenDavidson
"Davis, Danny K.",Illinois 7th,@RepDannyDavis
"Davis, Rodney",Illinois 13th,@RodneyDavis
"Davis, Susan",,@RepSusanDavis
"Dean, Madeleine",Pennsylvania 4th,@RepDean
"DeFazio, Peter",,@RepPeterDeFazio
"DeGette, Diana",Colorado 1st,@RepDianaDeGette
"DeLauro, Rosa L.",,@rosadelauro
"DelBene, Suzan",,@RepDelBene
"Delgado, Antonio",,@repdelgado
"Demings, Val",,@RepValDemings
"DeSaulnier, Mark",California 11th,@RepDeSaulnier
"DesJarlais, Scott",Tennessee 4th,@DesJarlaisTN04
"Deutch, Ted",Florida 22nd,@RepTedDeutch
"Diaz-Balart, Mario",Florida 25th,@MarioDB
"Dingell, Debbie",Michigan 12th,@RepDebDingell
"Doggett, Lloyd",Texas 35th,@RepLloydDoggett
"Doyle, Michael",Pennsylvania 18th,@USRepMikeDoyle
"Duffy, Sean P.",Wisconsin 7th,@RepSeanDuffy
"Duncan, Jeff",South Carolina 3rd,@RepJeffDuncan
"Dunn, Neal",Florida 2nd,@DrNealDunnFL2
"Emmer, Tom",Minnesota 6th,@RepTomEmmer
"Engel, Eliot",New York 16th,@RepEliotEngel
"Escobar, Veronica",Texas 16th,@RepEscobar
"Eshoo, Anna G.",California 18th,@RepAnnaEshoo
"Espaillat, Adriano",New York 13th,@RepEspaillat
"Estes, Ron",Kansas 4th,@RepRonEstes
"Evans, Dwight",Pennsylvania 3rd,@RepDwightEvans
"Ferguson, A. Drew",Georgia 3rd,@RepDrewFerguson
"Finkenauer, Abby",Iowa 1st,@RepFinkenauer
"Fitzpatrick, Brian",Pennsylvania 1st,@RepBrianFitz
"Fleischmann, Chuck",Tennessee 3rd,@RepChuck
"Fletcher, Lizzie",Texas 7th,@RepFletcher
"Flores, Bill",Texas 17th,@RepBillFlores
"Fortenberry, Jeff",Nebraska 1st,@JeffFortenberry
"Foster, Bill",Illinois 11th,@RepBillFoster
"Foxx, Virginia",North Carolina 5th,@virginiafoxx
"Frankel, Lois",Florida 21st,@RepLoisFrankel
"Fudge, Marcia L.",Ohio 11th,@RepMarciaFudge
"Fulcher, Russ",Idaho 1st,@RepRussFulcher
"Gabbard, Tulsi",Hawaii 2nd,@TulsiPress
"Gaetz, Matt",Florida 1st,@RepMattGaetz
"Gallagher, Mike",Wisconsin 8th,@RepGallagher
